1 9 1 1
39 19 45 4
36 8 39 14 46 15 32 20 46 21 35 27 45 28 43 35 33 4
42 9 32 35

1 6 0 0
9 9 25 23
7 31 39 32 7 10 26 10 8 9 40 9 

1 26 0 0
11 9 22 21
39 34 9 33 37 32 11 31 35 30 13 29 33 28 15 27 31 26 17 25 29 24 19 23 27 22 28 20 20 19 30 18 18 17 32 16 16 15 34 14 14 13 36 12 12 11 38 10 10 9 40 9 

1 12 1 0
21 21 31 33
20 35 38 31 11 30 11 22 44 21 33 20 12 19 6 13 32 13 10 8 39 8 21 7 
20 21 16 13

1 9 1 0
8 7 25 16
8 34 37 34 12 33 16 33 31 17 17 16 38 10 11 9 38 7 
25 27 30 6

1 25 0 0
23 18 5 6
5 34 43 34 4 33 44 33 24 29 34 29 23 28 35 28 22 27 24 27 12 26 33 26 11 25 35 25 32 23 35 23 34 22 11 14 44 14 12 13 43 13 22 9 34 9 23 8 33 8 

1 25 1 0
25 20 23 34
18 36 12 31 25 31 37 31 11 30 19 30 38 30 31 29 35 29 44 23 11 20 38 20 17 17 5 16 11 15 36 15 30 14 46 10 23 9 11 8 18 8 38 8 12 7 25 7 37 7 
23 28 22 17

2 20 1 0
9 13 21 19
9 33 41 32 37 31 39 31 24 30 16 29 32 29 12 28 18 22 38 22 31 21 25 20 17 19 26 16 23 14 40 13 17 10 30 10 13 9 37 9 
31 19 16 17

1 17 0 1
23 24 24 27
23 30 18 29 31 29 17 28 33 26 15 25 19 24 31 23 21 18 32 17 16 16 30 15 18 13 34 13 23 12 25 11 19 10 

2 16 1 1
14 11 20 20
33 29 21 28 25 28 15 27 28 26 33 23 20 22 18 21 30 21 22 20 26 19 30 15 27 14 14 13 18 12 34 11 
18 17 29 17

1 26 0 0
22 19 25 25
18 29 27 29 11 28 30 28 36 28 32 27 22 26 17 25 30 25 15 23 11 21 17 19 28 19 24 18 30 16 12 15 33 15 18 14 22 14 37 14 29 13 17 12 38 12 23 11 36 11 27 10 

3 48 1 0
20 23 31 18
10 36 4 35 35 35 39 35 44 35 27 34 33 34 9 30 13 30 30 29 39 29 19 28 23 28 44 28 42 27 5 26 29 25 18 23 14 22 9 21 37 21 23 20 44 20 6 19 18 18 12 17 38 17 22 16 35 16 40 16 3 15 47 15 8 14 25 14 17 13 41 12 34 11 6 10 24 10 12 9 19 9 30 9 46 9 40 8 46 8 3 6 23 6 35 6 
19 33 37 9

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0

1 0 0 0
0 0 0 0
